type	latitude	longitude	
W	51.5263678	-0.1251411	
W	51.5262877	-0.1252055	
W	51.5262210	-0.1252055	
W	51.5259006	-0.1253772	
W	51.5255001	-0.1258063	
W	51.5254867	-0.1260638	
W	51.5254600	-0.1260853	
W	51.5254066	-0.1262033	
W	51.5253599	-0.1262355	
W	51.5253065	-0.1264179	
W	51.5252531	-0.1264501	
W	51.5252331	-0.1264822	
W	51.5252197	-0.1266432	
W	51.5250929	-0.1269543	
W	51.5250729	-0.1269758	
W	51.5250595	-0.1270401	
W	51.5249928	-0.1272655	
W	51.5248593	-0.1273727	
W	51.5248059	-0.1275229	
W	51.5251396	-0.1268148	
W	51.5257270	-0.1253772	
W	51.5257404	-0.1250339	
W	51.5257404	-0.1247549	
W	51.5257404	-0.1245403	
W	51.5257270	-0.1239824	
W	51.5257804	-0.1243043	
W	51.5257270	-0.1241541	
W	51.5257671	-0.1237679	
W	51.5256870	-0.1236820	
W	51.5256736	-0.1235533	
W	51.5256736	-0.1234674	
W	51.5255268	-0.1229739	
W	51.5252865	-0.1223946	
W	51.5255535	-0.1226091	
W	51.5255535	-0.1228452	
W	51.5254600	-0.1231456	
W	51.5252731	-0.1222658	
W	51.5251797	-0.1221156	
W	51.5250996	-0.1219869	
W	51.5249661	-0.1217508	
W	51.5248326	-0.1214933	
W	51.5247391	-0.1214075	
W	51.5244988	-0.1209784	
W	51.5244321	-0.1208496	
W	51.5244054	-0.1206994	
W	51.5243787	-0.1205707	
W	51.5243386	-0.1203775	
W	51.5243119	-0.1200557	
W	51.5242185	-0.1195621	
W	51.5243520	-0.1197767	
W	51.5242585	-0.1193476	
W	51.5241517	-0.1188540	
W	51.5241918	-0.1190686	
W	51.5241116	-0.1187038	
W	51.5240983	-0.1184678	
W	51.5240582	-0.1183605	
W	51.5318143	-0.1196909	
W	51.5316541	-0.1196909	
W	51.5315473	-0.1196051	
W	51.5313605	-0.1194763	
W	51.5312003	-0.1195621	
W	51.5310935	-0.1194763	
W	51.5309066	-0.1193476	
W	51.5307998	-0.1194334	
W	51.5306930	-0.1193476	
W	51.5304528	-0.1192617	
W	51.5302926	-0.1191759	
W	51.5301324	-0.1190901	
W	51.5299188	-0.1189184	
W	51.5297853	-0.1188326	
W	51.5293848	-0.1185751	
W	51.5293048	-0.1186609	
W	51.5290378	-0.1184034	
W	51.5289310	-0.1183605	
W	51.5287441	-0.1181889	
W	51.5285572	-0.1181889	
W	51.5282101	-0.1180601	
W	51.5281567	-0.1180172	
W	51.5279431	-0.1176739	
W	51.5277028	-0.1174164	
W	51.5275426	-0.1174593	
W	51.5273824	-0.1171589	
W	51.5271688	-0.1170731	
W	51.5269285	-0.1167727	
W	51.5266348	-0.1165581	
W	51.5265013	-0.1165152	
W	51.5263144	-0.1163006	
W	51.5259406	-0.1162148	
W	51.5257003	-0.1160860	
W	51.5254867	-0.1160002	
W	51.5252998	-0.1158285	
W	51.5250328	-0.1156998	
W	51.5249260	-0.1156569	
W	51.5247658	-0.1154852	
W	51.5246056	-0.1154423	
W	51.5322415	-0.1193047	
W	51.5323216	-0.1190042	
W	51.5322148	-0.1187038	
W	51.5322415	-0.1184893	
W	51.5324817	-0.1181030	
W	51.5324817	-0.1172876	
W	51.5326152	-0.1177597	
W	51.5326419	-0.1167297	
W	51.5326419	-0.1163006	
W	51.5326953	-0.1158714	
W	51.5328021	-0.1151848	
W	51.5328021	-0.1147127	
W	51.5328822	-0.1140261	
W	51.5330157	-0.1133823	
W	51.5331758	-0.1129103	
W	51.5331224	-0.1125240	
W	51.5331758	-0.1121378	
W	51.5331758	-0.1117516	
W	51.5332826	-0.1114082	
W	51.5247925	-0.1150560	
W	51.5249260	-0.1145411	
W	51.5250061	-0.1139832	
W	51.5250061	-0.1134682	
W	51.5250595	-0.1127815	
